185,218,258,240,217,191,164,138,99,7
0,0,50,125,173,214,261,237,214,182
158,98,45,0,0,0,0,0,0,0
212,241,238,209,171,163,118,95,52,0
205,263,213,162,108,35,0,0,0,0
0,0,0,53,126,176,220,262,235,210
173,134,99,56,0,0,0,0,0,0
173,162,130,98,56,0,0,0,0,0
60,0,0,0,0,0,14,105,190,247
207,177,155,129,91,53,0,0,0,0
0,0,0,55,130,176,236,257,225,205
0,0,71,134,206,256,213,166,120,91
0,0,0,0,6,91,147,181,260,219
0,0,0,0,0,0,0,2,89,138
114,88,34,0,0,0,0,0,0,0
36,131,180,226,265,236,209,174,161,111
182,263,223,186,158,108,76,22,0,0
187,242,227,182,154,112,80,33,0,0
3,72,142,182,236,252,234,203,178,160
93,45,0,0,0,0,0,0,0,23
94,0,0,0,0,0,0,5,78,154
88,38,0,0,0,0,0,0,0,0
98,138,183,256,233,219,191,165,154,84
145,219,237,181,118,72,36,0,0,0
155,188,240,249,230,202,176,159,123,81
0,0,0,0,0,0,42,99,150,201
120,52,0,0,0,0,0,0,0,36
192,263,234,196,161,64,5,0,0,0
171,157,119,81,36,0,0,0,0,0
0,0,5,110,157,209,265,238,175,143
0,0,60,170,211,248,242,208,193,173
118,80,36,0,0,0,0,0,0,0
163,161,116,53,0,0,0,0,0,0
225,199,162,141,80,0,0,0,0,0
205,173,157,118,77,33,0,0,0,0
0,0,0,12,107,171,202,255,202,159
0,62,170,221,256,237,218,191,162,154
76,29,0,0,0,0,0,11,147,239
0,0,0,0,0,0,0,14,89,156
219,248,238,224,199,163,140,84,0,0
129,105,66,12,0,0,0,0,0,0
16,89,154,193,251,242,224,198,169,156
91,25,0,0,0,0,0,0,0,61
160,111,46,5,0,0,0,0,0,0
214,193,157,87,60,0,0,0,0,0
216,190,169,153,108,69,18,0,0,0
0,0,0,0,24,123,180,213,256,195
146,252,237,215,178,161,141,105,50,12
0,0,0,0,0,1,73,139,181,229
0,0,0,0,0,0,0,29,106,165
233,256,236,218,188,159,132,78,0,0
197,159,132,99,62,2,0,0,0,0
148,102,60,10,0,0,0,0,0,0
208,188,164,148,105,34,0,0,0,0
218,182,158,137,101,33,0,0,0,0
180,216,262,237,203,164,101,53,0,0
8,39,140,185,248,232,200,134,98,55
225,188,159,138,100,45,0,0,0,0
0,0,0,0,42,120,173,219,265,235
203,161,145,99,38,0,0,0,0,0
130,176,242,241,236,206,179,158,96,54
0,0,0,0,0,0,0,0,49,154
129,180,224,267,238,211,187,162,138,100
31,0,0,0,0,0,0,0,0,88
171,152,122,79,20,0,0,0,0,0
218,159,86,18,0,0,0,0,0,0
215,179,159,129,93,53,0,0,0,0
103,0,0,0,0,0,0,3,79,159
0,0,0,0,73,146,189,235,239,190
228,206,178,154,126,87,46,0,0,0
0,0,0,3,73,141,184,246,222,205
71,0,0,0,0,0,19,105,169,237
88,23,0,0,0,0,0,0,0,7
124,192,247,237,228,199,172,143,111,48
0,26,113,165,194,264,208,173,157,125
57,31,0,0,0,0,0,0,0,13
143,230,219,182,142,80,32,0,0,0
0,0,27,85,168,200,248,235,195,168
0,0,0,0,0,0,33,108,194,261
0,0,0,10,86,149,193,245,239,228
180,135,27,0,0,0,0,23,97,176
91,28,0,0,0,0,0,0,0,6
125,163,218,262,235,171,135,58,21,0
165,142,103,63,3,0,0,0,0,0
150,92,55,0,0,0,0,0,0,0
19,111,191,241,210,176,112,38,0,0
257,233,216,191,167,151,113,67,12,0
0,0,0,0,0,32,163,247,226,185
0,0,0,0,30,106,166,200,265,234
193,163,123,56,0,0,0,0,0,0
0,0,0,56,150,236,256,236,214,188
0,0,0,0,0,0,78,197,234,206
0,0,0,0,0,27,110,168,198,254
221,190,160,124,96,37,0,0,0,0
73,8,0,0,0,0,0,0,0,40
165,237,266,198,141,96,49,0,0,0
0,0,0,0,0,0,0,58,156,263
0,0,37,121,173,215,260,232,213,186
133,101,60,0,0,0,0,0,0,0
13,113,203,241,203,169,105,8,0,0
